service_id,route_id,trip_id,direction_id,trip_headsign,block_id
SA,GREEN,SA_97575,1,Mahatma Gandhi Bus Station,SA_20101
SA,GREEN,SA_97576,0,JBS Parade Ground,SA_20201
SA,GREEN,SA_97577,1,Mahatma Gandhi Bus Station,SA_20201
SA,GREEN,SA_97578,0,JBS Parade Ground,SA_20301
SA,GREEN,SA_97579,1,Mahatma Gandhi Bus Station,SA_20301
SA,GREEN,SA_97580,0,JBS Parade Ground,SA_20101
SA,GREEN,SA_97581,1,Mahatma Gandhi Bus Station,SA_20101
SA,GREEN,SA_97582,0,JBS Parade Ground,SA_20201
SA,GREEN,SA_97583,1,Mahatma Gandhi Bus Station,SA_20201
SA,GREEN,SA_97584,0,JBS Parade Ground,SA_20301
SA,GREEN,SA_97585,1,Mahatma Gandhi Bus Station,SA_20301
SA,GREEN,SA_97586,0,JBS Parade Ground,SA_20101
SA,GREEN,SA_97587,1,Mahatma Gandhi Bus Station,SA_20101
SA,GREEN,SA_97588,0,JBS Parade Ground,SA_20201
SA,GREEN,SA_97589,1,Mahatma Gandhi Bus Station,SA_20201
SA,GREEN,SA_97590,0,JBS Parade Ground,SA_20301
SA,GREEN,SA_97591,1,Mahatma Gandhi Bus Station,SA_20301
SA,GREEN,SA_97592,0,JBS Parade Ground,SA_20101
SA,GREEN,SA_97593,1,Mahatma Gandhi Bus Station,SA_20101
SA,GREEN,SA_97594,0,JBS Parade Ground,SA_20201
SA,GREEN,SA_97601,1,Mahatma Gandhi Bus Station,SA_20201
SA,GREEN,SA_97604,0,JBS Parade Ground,SA_20301
SA,GREEN,SA_97605,1,Mahatma Gandhi Bus Station,SA_20301
SA,BLUE,SA_98028,0,Raidurg,SA_32201
SA,BLUE,SA_98029,1,Nagole,SA_32201
SA,BLUE,SA_98032,0,Raidurg,SA_31101
SA,BLUE,SA_98033,1,Nagole,SA_31101
SA,BLUE,SA_98037,1,Nagole,SA_30101
SA,BLUE,SA_98041,1,Nagole,SA_31201
SA,BLUE,SA_98045,1,Nagole,SA_30301
SA,BLUE,SA_98048,0,Raidurg,SA_32001
SA,BLUE,SA_98049,1,Nagole,SA_32001
SA,BLUE,SA_98052,0,Raidurg,SA_32101
SA,BLUE,SA_98053,1,Nagole,SA_32101
SA,BLUE,SA_98057,1,Nagole,SA_30501
SA,BLUE,SA_98060,0,Raidurg,SA_32701
SA,BLUE,SA_98061,1,Nagole,SA_32701
SA,BLUE,SA_98065,1,Nagole,SA_31501
SA,BLUE,SA_98069,1,Nagole,SA_32801
SA,BLUE,SA_98073,1,Nagole,SA_31701
SA,BLUE,SA_98076,0,Raidurg,SA_31001
SA,BLUE,SA_98077,1,Nagole,SA_31001
SA,BLUE,SA_98080,0,Raidurg,SA_32301
SA,BLUE,SA_98081,1,Nagole,SA_32301
SA,BLUE,SA_98084,0,Raidurg,SA_31901
SA,BLUE,SA_98085,1,Nagole,SA_31901
SA,BLUE,SA_98088,0,Raidurg,SA_32401
SA,BLUE,SA_98089,1,Nagole,SA_32401
SA,BLUE,SA_98092,0,Raidurg,SA_30201
SA,BLUE,SA_98093,1,Nagole,SA_30201
SA,BLUE,SA_98096,0,Raidurg,SA_32501
SA,BLUE,SA_98097,1,Nagole,SA_32501
SA,BLUE,SA_98100,0,Raidurg,SA_30401
SA,BLUE,SA_98101,1,Nagole,SA_30401
SA,BLUE,SA_98104,0,Raidurg,SA_32601
SA,BLUE,SA_98105,1,Nagole,SA_32601
SA,BLUE,SA_98108,0,Raidurg,SA_31401
SA,BLUE,SA_98109,1,Nagole,SA_31401
SA,BLUE,SA_98112,0,Raidurg,SA_30601
SA,BLUE,SA_98113,1,Nagole,SA_30601
SA,BLUE,SA_98116,0,Raidurg,SA_30701
SA,BLUE,SA_98117,1,Nagole,SA_30701
SA,BLUE,SA_98120,0,Raidurg,SA_31601
SA,BLUE,SA_98121,1,Nagole,SA_31601
SA,BLUE,SA_98124,0,Raidurg,SA_30901
SA,BLUE,SA_98125,1,Nagole,SA_30901
SA,BLUE,SA_98128,0,Raidurg,SA_32201
SA,BLUE,SA_98129,1,Nagole,SA_32201
SA,BLUE,SA_98132,0,Raidurg,SA_31101
SA,BLUE,SA_98133,1,Nagole,SA_31101
SA,BLUE,SA_98136,0,Raidurg,SA_30101
SA,BLUE,SA_98137,1,Nagole,SA_30101
SA,BLUE,SA_98140,0,Raidurg,SA_31201
SA,BLUE,SA_98141,1,Nagole,SA_31201
SA,BLUE,SA_98144,0,Raidurg,SA_30301
SA,BLUE,SA_98145,1,Nagole,SA_30301
SA,BLUE,SA_98148,0,Raidurg,SA_32001
SA,BLUE,SA_98149,1,Nagole,SA_32001
SA,BLUE,SA_98152,0,Raidurg,SA_32101
SA,BLUE,SA_98153,1,Nagole,SA_32101
SA,BLUE,SA_98156,0,Raidurg,SA_30501
SA,BLUE,SA_98157,1,Nagole,SA_30501
SA,BLUE,SA_98160,0,Raidurg,SA_32701
SA,BLUE,SA_98161,1,Nagole,SA_32701
SA,BLUE,SA_98175,1,Nagole,SA_32301
SA,BLUE,SA_98179,1,Nagole,SA_31901
SA,BLUE,SA_98180,0,Raidurg,SA_32401
SA,BLUE,SA_98181,1,Nagole,SA_32401
SA,BLUE,SA_98183,1,Nagole,SA_30201
SA,BLUE,SA_98184,0,Raidurg,SA_32501
SA,BLUE,SA_98185,1,Nagole,SA_32501
SA,BLUE,SA_98187,1,Nagole,SA_30401
SA,BLUE,SA_98189,1,Nagole,SA_32601
SA,BLUE,SA_98191,1,Nagole,SA_31401
SA,BLUE,SA_98192,0,Raidurg,SA_30601
SA,BLUE,SA_98193,1,Nagole,SA_30601
SA,BLUE,SA_98194,0,Raidurg,SA_30701
SA,BLUE,SA_98195,1,Nagole,SA_30701
SA,BLUE,SA_98196,0,Raidurg,SA_31601
SA,BLUE,SA_98197,1,Nagole,SA_31601
SA,BLUE,SA_98198,0,Raidurg,SA_30901
SA,BLUE,SA_98199,1,Nagole,SA_30901
SA,BLUE,SA_98200,0,Raidurg,SA_32201
SA,BLUE,SA_98201,1,Nagole,SA_32201
SA,BLUE,SA_98202,0,Raidurg,SA_31101
SA,BLUE,SA_98203,1,Nagole,SA_31101
SA,BLUE,SA_98204,0,Raidurg,SA_30101
SA,BLUE,SA_98205,1,Nagole,SA_30101
SA,BLUE,SA_98206,0,Raidurg,SA_31201
SA,BLUE,SA_98207,1,Nagole,SA_31201
SA,BLUE,SA_98208,0,Raidurg,SA_30301
SA,BLUE,SA_98209,1,Nagole,SA_30301
SA,BLUE,SA_98210,0,Raidurg,SA_32001
SA,BLUE,SA_98211,1,Nagole,SA_32001
SA,BLUE,SA_98212,0,Raidurg,SA_32101
SA,BLUE,SA_98213,1,Nagole,SA_32101
SA,BLUE,SA_98214,0,Raidurg,SA_30501
SA,BLUE,SA_98215,1,Nagole,SA_30501
SA,BLUE,SA_98216,0,Raidurg,SA_32701
SA,BLUE,SA_98217,1,Nagole,SA_32701
SA,BLUE,SA_98222,1,Nagole,SA_31501
SA,BLUE,SA_98223,0,Raidurg,SA_31501
SA,BLUE,SA_98224,1,Nagole,SA_32801
SA,BLUE,SA_98225,0,Raidurg,SA_32801
SA,BLUE,SA_98226,1,Nagole,SA_31701
SA,BLUE,SA_98227,0,Raidurg,SA_31701
SA,BLUE,SA_98228,1,Nagole,SA_31001
SA,BLUE,SA_98229,0,Raidurg,SA_31001
SA,BLUE,SA_98230,1,Nagole,SA_32301
SA,BLUE,SA_98231,0,Raidurg,SA_32301
SA,BLUE,SA_98232,1,Nagole,SA_31901
SA,BLUE,SA_98233,0,Raidurg,SA_31901
SA,BLUE,SA_98234,1,Nagole,SA_32401
SA,BLUE,SA_98235,0,Raidurg,SA_32401
SA,BLUE,SA_98236,1,Nagole,SA_30201
SA,BLUE,SA_98237,0,Raidurg,SA_30201
SA,BLUE,SA_98238,1,Nagole,SA_32501
SA,BLUE,SA_98239,0,Raidurg,SA_32501
SA,BLUE,SA_98240,1,Nagole,SA_30401
SA,BLUE,SA_98241,0,Raidurg,SA_30401
SA,BLUE,SA_98242,1,Nagole,SA_32601
SA,BLUE,SA_98243,0,Raidurg,SA_32601
SA,BLUE,SA_98244,1,Nagole,SA_31401
SA,BLUE,SA_98245,0,Raidurg,SA_31401
SA,BLUE,SA_98246,1,Nagole,SA_30601
SA,BLUE,SA_98247,0,Raidurg,SA_30601
SU,BLUE,SU_12335,0,Raidurg,SU_30101
SU,BLUE,SU_12337,0,Raidurg,SU_30201
SU,BLUE,SU_12338,1,Nagole,SU_30201
SU,BLUE,SU_12339,0,Raidurg,SU_30301
SU,BLUE,SU_12341,0,Raidurg,SU_30401
SU,BLUE,SU_12342,1,Nagole,SU_30401
SU,BLUE,SU_12343,0,Raidurg,SU_30501
SU,BLUE,SU_12344,1,Nagole,SU_30501
SU,BLUE,SU_12345,0,Raidurg,SU_30601
SU,BLUE,SU_12346,1,Nagole,SU_30601
SU,BLUE,SU_12347,0,Raidurg,SU_30701
SU,BLUE,SU_12348,1,Nagole,SU_30701
SU,BLUE,SU_12349,0,Raidurg,SU_30801
SU,BLUE,SU_12350,1,Nagole,SU_30801
SU,BLUE,SU_12354,1,Nagole,SU_30301
SU,BLUE,SU_12356,1,Nagole,SU_30101
SU,BLUE,SU_15213,0,Raidurg,SU_31501
SU,BLUE,SU_15214,1,Nagole,SU_31501
SU,BLUE,SU_15215,0,Raidurg,SU_31201
SU,BLUE,SU_15216,1,Nagole,SU_31201
SU,BLUE,SU_15217,0,Raidurg,SU_30101
SU,BLUE,SU_15218,1,Nagole,SU_30101
SU,BLUE,SU_15219,0,Raidurg,SU_31601
SU,BLUE,SU_15220,1,Nagole,SU_31601
SU,BLUE,SU_15221,0,Raidurg,SU_30201
SU,BLUE,SU_15222,1,Nagole,SU_30201
SU,BLUE,SU_15223,0,Raidurg,SU_30301
SU,BLUE,SU_15224,1,Nagole,SU_30301
SU,BLUE,SU_15225,0,Raidurg,SU_31301
SU,BLUE,SU_15226,1,Nagole,SU_31301
SU,BLUE,SU_15227,0,Raidurg,SU_31701
SU,BLUE,SU_15228,1,Nagole,SU_31701
SU,BLUE,SU_15229,0,Raidurg,SU_30401
SU,BLUE,SU_15230,1,Nagole,SU_30401
SU,BLUE,SU_15231,0,Raidurg,SU_30501
SU,BLUE,SU_15232,1,Nagole,SU_30501
SU,BLUE,SU_15233,0,Raidurg,SU_31801
SU,BLUE,SU_15234,1,Nagole,SU_31801
SU,BLUE,SU_15235,0,Raidurg,SU_31401
SU,BLUE,SU_15236,1,Nagole,SU_31401
SU,BLUE,SU_15237,0,Raidurg,SU_30601
SU,BLUE,SU_15238,1,Nagole,SU_30601
SU,BLUE,SU_15239,0,Raidurg,SU_31901
SU,BLUE,SU_15240,1,Nagole,SU_31901
SU,BLUE,SU_15241,0,Raidurg,SU_30701
SU,BLUE,SU_15242,1,Nagole,SU_30701
SU,BLUE,SU_15243,0,Raidurg,SU_30801
SU,BLUE,SU_15244,1,Nagole,SU_30801
SU,BLUE,SU_15246,1,Nagole,SU_30901
SU,BLUE,SU_15247,0,Raidurg,SU_32001
SU,BLUE,SU_15248,1,Nagole,SU_32001
SU,BLUE,SU_15249,0,Raidurg,SU_31001
SU,BLUE,SU_15250,1,Nagole,SU_31001
SU,BLUE,SU_15251,0,Raidurg,SU_31101
SU,BLUE,SU_15252,1,Nagole,SU_31101
SU,BLUE,SU_15253,0,Raidurg,SU_31501
SU,BLUE,SU_15254,1,Nagole,SU_31501
SU,BLUE,SU_15255,0,Raidurg,SU_31201
SU,BLUE,SU_15256,1,Nagole,SU_31201
SU,BLUE,SU_15257,0,Raidurg,SU_30101
SU,BLUE,SU_15258,1,Nagole,SU_30101
SU,BLUE,SU_15259,0,Raidurg,SU_31601
SU,BLUE,SU_15260,1,Nagole,SU_31601
SU,BLUE,SU_15261,0,Raidurg,SU_30201
SU,BLUE,SU_15262,1,Nagole,SU_30201
SU,BLUE,SU_15263,0,Raidurg,SU_30301
SU,BLUE,SU_15264,1,Nagole,SU_30301
SU,BLUE,SU_15265,0,Raidurg,SU_31301
SU,BLUE,SU_15266,1,Nagole,SU_31301
SU,BLUE,SU_15267,0,Raidurg,SU_31701
SU,BLUE,SU_15268,1,Nagole,SU_31701
SU,BLUE,SU_15269,0,Raidurg,SU_30401
SU,BLUE,SU_15270,1,Nagole,SU_30401
SU,BLUE,SU_15271,0,Raidurg,SU_30501
SU,BLUE,SU_15272,1,Nagole,SU_30501
SU,BLUE,SU_15273,0,Raidurg,SU_31801
SU,BLUE,SU_15274,1,Nagole,SU_31801
SU,BLUE,SU_15275,0,Raidurg,SU_31401
SU,BLUE,SU_15276,1,Nagole,SU_31401
SU,BLUE,SU_15277,0,Raidurg,SU_30601
SU,BLUE,SU_15278,1,Nagole,SU_30601
SU,BLUE,SU_15279,0,Raidurg,SU_31901
SU,BLUE,SU_15280,1,Nagole,SU_31901
SU,BLUE,SU_15281,0,Raidurg,SU_30701
SU,BLUE,SU_15282,1,Nagole,SU_30701
SU,BLUE,SU_15283,0,Raidurg,SU_30801
SU,BLUE,SU_15284,1,Nagole,SU_30801
SU,BLUE,SU_15285,0,Raidurg,SU_30901
SU,BLUE,SU_15286,1,Nagole,SU_30901
SU,BLUE,SU_15287,0,Raidurg,SU_32001
SU,BLUE,SU_15288,1,Nagole,SU_32001
SU,BLUE,SU_15289,0,Raidurg,SU_31001
SU,BLUE,SU_15290,1,Nagole,SU_31001
SU,BLUE,SU_15291,0,Raidurg,SU_31101
